locationCode,locationName,propertyCode,lat,lon,depth
CSBR,Cascadia Seaweed Burrough Point Reference Site,"conductivity,seawatertemperature,salinity,oxygen",48.968889,-124.998889,6
CSCR,Cascadia Seaweed Cormorant Reference Site,"conductivity,seawatertemperature,salinity,oxygen",49.262222,-125.922222,6
CSE20,South East 20km,"seawatertemperature",47.562412,-127.607797,2633
CSE25,South East 25km,"seawatertemperature",47.616076,-127.600524,2619.5
CW25,West 25km,"seawatertemperature",47.766614,-128.070087,2645.4
CWB10,Patrol 10,"conductivity,seawatertemperature,salinity",49.314008,-124.559496,-0.149159
DELLS,Dellwood Seamounts,"conductivity,seawatertemperature,salinity,oxygen",50.72278,-130.921373,840
DIIP.C1,CTD AML ,"conductivity,seawatertemperature,salinity",54.258766,-130.430725,27.377778
DIIP.C2,CTD Sea-Bird ,"conductivity,seawatertemperature,salinity",54.258714,-130.431197,27
DIIP.O1,Oxygen Aanderaa,"oxygen",54.258766,-130.430725,27.377778
DIIP.O2,Oxygen Sea-Bird ,"seawatertemperature,oxygen",54.258714,-130.431197,27
ENEF,Endeavour East,"conductivity,seawatertemperature,salinity,oxygen",47.958447,-129.035416,2320
ENHR,High Rise,"seawatertemperature",47.963171,-129.091404,2188
ENWF,West Flank,"seawatertemperature",47.959876,-129.124319,2362.5
FAE,Fish Acoustics Experiment,"seawatertemperature",49.080834,-123.339133,144
FBB,Fortune Bay Buoy,"seawatertemperature",47.590462,-56.110002,0
FGPD,Folger Deep,"conductivity,seawatertemperature,salinity",48.813815,-125.280772,95.72
FGPD.O1,Oxygen Sensor Aanderaa,"seawatertemperature,oxygen",48.813773,-125.280801,96.571429
FGPD.O2,Oxygen Sensor SBE63,"seawatertemperature,oxygen",48.813834,-125.280806,95.566667
FGPPN,Folger Pinnacle,"conductivity,seawatertemperature,salinity,oxygen",48.808292,-125.2815,25
FGPPN.C1,CTD Experiment Control,"conductivity",48.808292,-125.2815,25
FGPPN.C2,CTD Experiment UV Antifouling 1,"conductivity",48.808292,-125.2815,25
FGPPN.C3,CTD Experiment UV Antifouling 2,"conductivity",48.808292,-125.2815,25
GAL9,Patrol 9,"conductivity,seawatertemperature,salinity",48.649178,-123.446225,81.71146
GIB11,Patrol 11,"conductivity,seawatertemperature,salinity",48.6493,-123.446,-0.056609
HB2,Holyrood Buoy 2,"seawatertemperature",47.461035,-53.114805,0
HB2A,Holyrood Buoy 2a,"seawatertemperature",47.461035,-53.114805,0
HBIP,Hartley Bay Underwater Network,"conductivity,seawatertemperature,salinity,oxygen",53.422279,-129.246681,82.4
HPBB,Head of Placentia Bay Buoy,"seawatertemperature",47.758333,-54.075,0
HRBIP,Holyrood Bay Underwater Network,"co2partialpressure,conductivity,seawatertemperature,salinity,oxygen,ph",47.425936,-53.121064,84.5
IOST,NEPTUNE Testing,"seawatertemperature",48.650593,-123.48633,99
IOST2,Offshore Vertical Profiler Test,"co2partialpressure,conductivity,seawatertemperature,salinity,oxygen",48.651475,-123.464319,43.5
IOST3,Tempo-Mini Test,"seawatertemperature",48.650478,-123.486073,98
IRS3,Patrol 3,"conductivity,seawatertemperature,salinity",48.6493,-123.446,-0.056609
